source,target,capacity,length,fft,unknown
1.0,3.0,1.0,19387.397112,665.4,2.0
1.0,4.0,1.0,10230.864061199998,358.8,2.0
1.0,321.0,1.0,2918.7955844,174.0,1.0
1.0,415.0,1.0,7123.228521199999,286.8,1.0
2.0,3.0,1.0,7564.7992304,260.4,2.0
2.0,414.0,1.0,12085.644504599999,574.8000000000001,1.0
2.0,527.0,1.0,5313.879746,237.60000000000002,1.0
3.0,1.0,1.0,19387.397112,665.4,2.0
3.0,2.0,1.0,7564.7992304,260.4,2.0
3.0,538.0,1.0,11362.278361399998,415.79999999999995,2.0
4.0,1.0,1.0,10230.864061199998,358.8,2.0
4.0,5.0,1.0,7336.498258,253.2,2.0
4.0,322.0,1.0,2042.7835422,94.15614250289632,1.0
4.0,328.0,1.0,7590.2428958,381.6,1.0
5.0,4.0,1.0,7336.498258,253.2,2.0
5.0,6.0,1.0,4346.1675106,153.0,2.0
5.0,326.0,1.0,2695.6445,121.91455674749503,1.0
5.0,330.0,1.0,2582.4435243999997,178.79999999999998,1.0
6.0,5.0,1.0,4346.1675106,153.0,2.0
6.0,7.0,1.3888888888888888,5007.622344,205.20000000000002,2.0
6.0,325.0,1.0,4360.5550102,157.2,1.0
6.0,329.0,1.0,986.5897936,98.65897936,1.0
7.0,6.0,1.3888888888888888,5007.622344,205.20000000000002,2.0
7.0,8.0,1.3888888888888888,3633.6000388,145.2,2.0
7.0,197.0,1.0,7680.494683,298.2,1.0
7.0,214.0,1.0,905.0767225999998,90.50767225999998,1.0
8.0,7.0,1.3888888888888888,3633.6000388,145.2,2.0
8.0,9.0,1.3888888888888888,5402.9084348,219.0,2.0
8.0,197.0,1.0,6234.3578523999995,232.79999999999998,1.0
8.0,213.0,1.0,1335.2533046,81.60000000000001,1.0
9.0,8.0,1.3888888888888888,5402.9084348,219.0,2.0
9.0,10.0,1.3888888888888888,3142.960553,126.6,2.0
10.0,9.0,1.3888888888888888,3142.960553,126.6,2.0
10.0,11.0,1.3888888888888888,3503.9837952,141.6,2.0
10.0,201.0,1.0,4024.9593399999994,181.2,1.0
10.0,217.0,1.0,1777.9344583999998,76.8,1.0
11.0,10.0,1.3888888888888888,3503.9837952,141.6,2.0
11.0,12.0,1.3888888888888888,1010.7138001999999,43.2,2.0
11.0,13.0,1.8055555555555556,3147.5632654,126.6,2.0
11.0,16.0,2.2222222222222223,4515.80804,183.60000000000002,2.0
12.0,11.0,1.3888888888888888,1010.7138001999999,43.2,2.0
12.0,150.0,1.3888888888888888,6331.755109199999,256.8,2.0
12.0,217.0,1.9444444444444444,2734.6870884,199.2,1.0
12.0,222.0,1.9444444444444444,2195.13976,101.5482257556852,1.0
13.0,11.0,1.8055555555555556,3147.5632654,126.6,2.0
13.0,14.0,1.3888888888888888,5561.1226502,245.4,2.0
13.0,200.0,1.0,1624.9988782,52.8,1.0
13.0,222.0,1.0,4035.7258246,403.2,1.0
14.0,13.0,1.3888888888888888,5561.1226502,245.4,2.0
14.0,15.0,1.3888888888888888,2414.6537359999998,101.39999999999999,2.0
14.0,198.0,1.6666666666666667,1610.0963897999998,102.0,1.0
14.0,203.0,1.6666666666666667,3573.4268162,108.60000000000001,1.0
15.0,14.0,1.3888888888888888,2414.6537359999998,101.39999999999999,2.0
16.0,11.0,2.2222222222222223,4515.80804,183.60000000000002,2.0
16.0,17.0,1.8055555555555556,4835.2942168,195.6,2.0
16.0,219.0,1.0416666666666667,1936.2130473999998,170.4,1.0
16.0,224.0,1.0416666666666667,3104.4007665999998,124.19999999999999,1.0
17.0,16.0,1.8055555555555556,4835.2942168,195.6,2.0
17.0,18.0,1.3888888888888888,1475.8130601999999,63.00000000000001,2.0
17.0,288.0,1.5277777777777777,2483.5173946,188.4,1.0
17.0,293.0,1.5277777777777777,2591.761603,127.49598914854026,1.0
18.0,17.0,1.3888888888888888,1475.8130601999999,63.00000000000001,2.0
18.0,19.0,1.3888888888888888,3519.0794043999995,151.79999999999998,2.0
18.0,101.0,1.3888888888888888,1533.459619,60.599999999999994,2.0
