source,target,capacity,length,fft,unknown
1.0,2.0,7.194500177777778,9656.064,360.0,1.0
1.0,3.0,6.500964775,6437.376,240.0,1.0
2.0,1.0,7.194500177777778,9656.064,360.0,1.0
2.0,6.0,1.37727248,8046.72,300.0,1.0
3.0,1.0,6.500964775,6437.376,240.0,1.0
3.0,4.0,4.752923255555556,6437.376,240.0,1.0
3.0,12.0,6.500964775,6437.376,240.0,1.0
4.0,3.0,4.752923255555556,6437.376,240.0,1.0
4.0,5.0,4.939665027777777,3218.688,120.0,1.0
4.0,11.0,1.3635629805555556,9656.064,360.0,1.0
5.0,4.0,4.939665027777777,3218.688,120.0,1.0
5.0,6.0,1.3744431858333335,6437.376,240.0,1.0
5.0,9.0,2.7777777777777777,8046.72,300.0,1.0
6.0,2.0,1.37727248,8046.72,300.0,1.0
6.0,5.0,1.3744431858333335,6437.376,240.0,1.0
6.0,8.0,1.3607187905555556,3218.688,120.0,1.0
7.0,8.0,2.1782809194444446,4828.032,180.0,1.0
7.0,18.0,6.500964775,3218.688,120.0,1.0
8.0,6.0,1.3607187905555556,3218.688,120.0,1.0
8.0,7.0,2.1782809194444446,4828.032,180.0,1.0
8.0,9.0,1.4028314322222224,16093.44,600.0,1.0
8.0,16.0,1.4016173841666666,8046.72,300.0,1.0
9.0,5.0,2.7777777777777777,8046.72,300.0,1.0
9.0,8.0,1.4028314322222224,16093.44,600.0,1.0
9.0,10.0,3.8654967833333336,4828.032,180.0,1.0
10.0,9.0,3.8654967833333336,4828.032,180.0,1.0
10.0,11.0,2.7777777777777777,8046.72,300.0,1.0
10.0,15.0,3.753333763888889,9656.064,360.0,1.0
10.0,16.0,1.3485882547222223,6437.376,240.0,1.0
10.0,17.0,1.3870863038888888,12874.752,480.0,1.0
11.0,4.0,1.3635629805555556,9656.064,360.0,1.0
11.0,10.0,2.7777777777777777,8046.72,300.0,1.0
11.0,12.0,1.3635629805555556,9656.064,360.0,1.0
11.0,14.0,1.3545856352777776,6437.376,240.0,1.0
12.0,3.0,6.500964775,6437.376,240.0,1.0
12.0,11.0,1.3635629805555556,9656.064,360.0,1.0
12.0,13.0,7.194500177777778,4828.032,180.0,1.0
13.0,12.0,7.194500177777778,4828.032,180.0,1.0
13.0,24.0,1.41423782,6437.376,240.0,1.0
14.0,11.0,1.3545856352777776,6437.376,240.0,1.0
14.0,15.0,1.4243128108333334,8046.72,300.0,1.0
14.0,23.0,1.3679973902777778,6437.376,240.0,1.0
15.0,10.0,3.753333763888889,9656.064,360.0,1.0
15.0,14.0,1.4243128108333334,8046.72,300.0,1.0
15.0,19.0,4.045764763888889,4828.032,180.0,1.0
15.0,22.0,2.6664390458333336,4828.032,180.0,1.0
16.0,8.0,1.4016173841666666,8046.72,300.0,1.0
16.0,10.0,1.3485882547222223,6437.376,240.0,1.0
16.0,17.0,1.452752795277778,3218.688,120.0,1.0
16.0,18.0,5.466637975,4828.032,180.0,1.0
17.0,10.0,1.3870863038888888,12874.752,480.0,1.0
17.0,16.0,1.452752795277778,3218.688,120.0,1.0
17.0,19.0,1.3399863419444444,3218.688,120.0,1.0
18.0,7.0,6.500964775,3218.688,120.0,1.0
18.0,16.0,5.466637975,4828.032,180.0,1.0
18.0,20.0,6.500964775,6437.376,240.0,1.0
19.0,15.0,4.045764763888889,4828.032,180.0,1.0
19.0,17.0,1.3399863419444444,3218.688,120.0,1.0
19.0,20.0,1.3896132119444444,6437.376,240.0,1.0
20.0,18.0,6.500964775,6437.376,240.0,1.0
20.0,19.0,1.3896132119444444,6437.376,240.0,1.0
20.0,21.0,1.4055312055555556,9656.064,360.0,1.0
20.0,22.0,1.4099158869444444,8046.72,300.0,1.0
21.0,20.0,1.4055312055555556,9656.064,360.0,1.0
21.0,22.0,1.452752795277778,3218.688,120.0,1.0
21.0,24.0,1.3570437677777778,4828.032,180.0,1.0
22.0,15.0,2.6664390458333336,4828.032,180.0,1.0
22.0,20.0,1.4099158869444444,8046.72,300.0,1.0
22.0,21.0,1.452752795277778,3218.688,120.0,1.0
22.0,23.0,1.3888888888888888,6437.376,240.0,1.0
23.0,14.0,1.3679973902777778,6437.376,240.0,1.0
23.0,22.0,1.3888888888888888,6437.376,240.0,1.0
23.0,24.0,1.4106967877777778,3218.688,120.0,1.0
24.0,13.0,1.41423782,6437.376,240.0,1.0
24.0,21.0,1.3570437677777778,4828.032,180.0,1.0
24.0,23.0,1.4106967877777778,3218.688,120.0,1.0
